idx,pw_len,pt_len,enc_time_s,dec_time_s,correct,cpu_before,cpu_after,mem_before_mb,mem_after_mb,cipher_digits,cipher_bytes_len,cipher_entropy,chi2,chi_p,serial_corr,runs_p
21,20,30,0.19673200001125224,0.23096559999976307,0,33.3,24.3,207.69140625,207.69140625,240099087175129200075205116220001199084205136044075046028017157241083173162024250036004247252116221099058130129031075250235236179105180026088229184181082115094012158050197067254036155039049068039105048204177173098099211190209010153057088130075075071033173012100207012182004237159222053068211004048175031200119253211047179105157205117204136191113193125147099010193067004191163185204068221103201161120200181159017236225105153202077028184191123022157246099010193129198218248069063148240248201175134054065004239066001247099084088028125075178193173008179173207123254032159226049189217154052161177200208045017236179149180055077217125177224226080012158010249228097046159226252189039095206048114050075099022066040039100205077239075124113017207241100054060182004221102023252185211095052151134050130004229190020105153057117204184137028022173002154173197134003046159032082067240105206048081081098004229219079039180250136217038210123017094002253081197123051067182032082185032170048204031200065205017190079247153168143204069156178115207193179060094117051024248023053068221099058048129060119099,360,6.935467499365691,528.8888888888889,2.7024155976608668e-21,-0.09355231526761097,0.13620715431739883
22,8,13,0.19922629999928176,0.20199319999665022,0,0.0,24.6,207.69140625,207.6953125,101164093090240083063005249109220165138157007199034220008111253116170063229248142209171019048013122083151069194097255055079104193143117243013237148088008064075172170216248237067017029176053008204180183130221124234016112104230057120157055216190088208112075158191200202199067059153044010050122158186090215124050042101109236090146069174237129106008217147179128050124199100209190052032050080185151090253124213179101104230144138243007199166069034069121158103242229018142027,156,6.509635872652929,346.1538461538462,0.00012377849603217316,-0.04064915838409265,0.6900769259044055
23,16,25,0.2530474000086542,0.22817750001559034,0,0.0,37.1,207.6953125,207.6953125,174217119096071041159098170037172079033207122132082248093121010068227033212138112238051095201250147022119197146053127025209045176119123207223091129131181252033159185164222138102008105061014047178197184197130053145255236176159079090106189222157022134135223002219254132069165075117103022234117197107187071075119025170045159210123177098171082246069166223159185254222100122075072033022250157006107173023008234231236197111119084114156142129197069166000068152223222069112246070250201071208211125187130035111090170203234202103130098230178006187172207088165209017069189035117018213250125022021136047115186056063045210210188247146230199187085137199088179057222100122075072033022250157006107173098238172025236197176202113177122165066246085137028002126223255079032246051095014037125248176120071053234231047246127052090106189230157187248121010068102033132079189246174055201127109246184136081115119025209224234202,300,6.813944724520532,498.71999999999997,6.02837017527045e-18,0.0476862516066567,0.09576299782977915
24,12,30,0.21362630001385696,0.2329582999809645,0,0.0,43.5,207.6953125,207.6953125,191189007068080035133179071115207168176133225239060249230072042041067251084156238229176177091018107076246068129026161179061106255121120133186189075187084176042094001136255255238071120034127176193132007051152084161025078000255121169022179230040224068065136025167064219198157071137210028113067189173051195064161138087000064223235188075089240040188254156159167055084068034087097034221185155076255251023152010066241187051105185188114149131095242065210143107064165055108134097010221202191195093226152026181066061216177121185077179230012224068137035229167145077108148078211121221185067231173080080152010066229204177239235133005189075075022254080061001251084255132241211177091176191023133160152035081075241106235105185242225149060040188234136041179055235108108078176010212006041076007226105235121075134040136223027084179046060075133234156094233035255136054241199034037185041063255136023100161091078130255096065084053230040233242206136229151211219136108087113121212054067132073080145226133049241115089121176077005255114233068065058103001251235198157078211096221160057195133051023026161091,360,6.791215451473782,632.7111111111112,4.724544795487145e-34,-0.05629577172555588,0.5023258514770561
25,20,21,0.22065639999345876,0.21666249999543652,0,16.7,27.0,207.6953125,207.6953125,132126089231061247202135214157248059203062185153018025094069014206019084098241214218097145072035147110178215193041202004106157221043079143002103018184128088030021232067127241233003097018104162074094245231069210020004132059165168018035061190112025094002014148065001037125106135113204111146053194178116122149004004246025165208055100190024015184210088092037065115254047145020113064212001198194202215214057151020246059154059109065190190190025210249046037175084093241122165065179111062180223073240214123239003106154221138204062174066190184210254030037144067254142214020192204104133040223073086214009239020119068165044203205190190190075128039046137020141217063122003221179182092180121105165069210020135119138006168158159069169252030094254092148232168140142106003,252,6.805797272926968,461.1428571428571,4.709800951336583e-14,-0.11521809538128232,0.7889088755378624
26,14,22,0.20422949999920093,0.21620009999605827,0,0.0,31.4,207.69921875,207.69921875,152058067197192192025142216080077155133032249156229225044106237171139158040206167065212025219134209236054082206067207128196038165053037199110146047018230055226191118138136024089201051068068134027236067209206095134103014080221053079200051122143118048126131171118119213206167052219025088123249165054056051095231115072134193104083068051020102106072151005164253121038182210047051185060134127038203152070161025046083080011155043068051117007225175126237066098119160094143191157207068038027170107222206067025103014080171155079068051117007245160055171191109119038024198191051095060136152170045197070207111046038080171149043199051060143188230126226171118215038210143032075080146134127038189209070039097228014134193104216088051246102106206106005171253119094206201199087080219123127236067078110039146248,264,6.676505105154001,581.5757575757575,1.4934542080480837e-27,-0.08564749540271147,0.8106648553796443
27,10,10,0.19099559998721816,0.18684870001743548,0,0.0,16.5,207.69921875,207.69921875,070153218045158033199129060232184238156062249128188047189076015228107196065203057121069253104067187153234071206095058117170090166180010004195125236081249038033180218088231062151025010000244066164040129232129238156128052010232160232064215128200049249039005086197080239203045133107226104013186135206045047015050235154187082238232241152207094127195124005240218254,120,6.299441820695343,328.0,0.0013677921172762081,-0.15156673938939433,0.12117179273125078
28,10,12,0.18536249999306165,0.18751519999932498,0,0.0,16.1,207.69921875,207.69921875,185249226037103025034018085013103205197255205019058155220007120036154234046108090043203174090172185241075069202084003124223063061110228082205073058074142164074245185253144182028082133178128107221183037069189035077049153143078079205065205094027074165183097245131176144216090060142099228219214102065245240084034166252005042079139226110027050244012192107245154138061189090043249185151107144203096119170058070187215067093010128065001132,144,6.47975779321138,336.0,0.0004945594773474099,0.0613418531868756,0.11028067798855212
29,19,13,0.1913267000054475,0.1907948000007309,0,0.0,21.4,207.69921875,207.69921875,103165005232092225229189241082070040198031002178220137175179156135195076026163234164183107235173061224005153117225229004033082089150184031095191245253086179037073247044122227020227183146139204121186065096145254160089223008053053150090050017177204086010081135183124243211234164020146230232009212113217006144204052238159070088150149002222129003086179117072135197122227058007219043139156020186113039040164193004102216104070047059082178193137017130020013135008074210073106,156,6.600825375788715,306.76923076923083,0.014538969622775186,-0.04262087164872489,0.28883205201590023
30,10,27,0.21569530002307147,0.20955930001218803,0,0.0,26.2,207.69921875,207.69921875,104021215135111055066145126231142121047076045053125155187200103044029178152242184038236166151147157195169177080021143230092197182202246122015227096096231041016132150071109209228004185209161135157127252114077008105230205231241160201198018022010086175235050132150071018049147183206204138165193188225147173021066217043197241098156154057247010010109041122112085127152209050110185132151135104055093219123055030217214209142130023076239046096040109041154209181153196121110122146015161207227021225135123169060251126028080130023198045053086163144022129250119100179202184143185044223147171093001177241169183179020250241180212122101247010040078200185044063204018019172076236015181094023188001013005214066217092209182202201088179200066010049183154204181071078044228038206055181237193021195249182055060179000007080232212154045022066010049067050044099166196091110110164112151094171127139147039093183056245007039202023154101247155096141061076112174204109121184172103044043207171132001177,324,7.029063498449167,406.0740740740741,5.233229537031974e-09,0.06508544573616934,0.4991573034812622
